label,color,x,y
Konrad_Adenauer,#ff0000,184.0220184326172,-87.20052337646484
Spider-Man,#0000ff,-65.35374450683594,69.97000122070312
Helmut_Kohl,#ff0000,-38.459617614746094,-148.7731475830078
Willy_Brandt,#ff0000,97.93235778808594,-218.53317260742188
Nyota_Uhura,#0000ff,30.363513946533203,81.61956787109375
Walter_Scheel,#ff0000,57.15742874145508,-144.68992614746094
Shrek_(character),#0000ff,-76.01275634765625,232.94607543945312
Princess_Leia,#0000ff,-32.15771484375,310.4381408691406
Kurt_Georg_Kiesinger,#ff0000,142.98077392578125,-153.892578125
Sheldon_Cooper,#0000ff,5.58096981048584,214.84817504882812
Harry_Potter,#0000ff,-182.4079132080078,292.6373291015625
Morpheus_(The_Matrix),#0000ff,-24.046308517456055,145.9219512939453
Angela_Merkel,#ff0000,-149.46414184570312,-51.966278076171875
Ludwig_Erhard,#ff0000,101.05049896240234,-69.24633026123047
Ron_Weasley,#0000ff,-103.47998809814453,149.54830932617188
Helmut_Schmidt,#ff0000,11.518465042114258,-215.8540496826172
Frodo_Baggins,#0000ff,-5.565870761871338,25.085357666015625
Albus_Dumbledore,#0000ff,-174.75100708007812,194.68374633789062
Batman,#0000ff,91.59569549560547,271.7640075683594
Gerhard_Schröder,#ff0000,-65.65071105957031,-74.93607330322266
Hermione_Granger,#0000ff,75.42227935791016,163.02352905273438
Sansa_Stark,#0000ff,-187.26390075683594,89.71251678466797
Olaf Scholz,#ff0000,163.7620391845703,35.58140182495117
