chancellorLabel	inaugurationTime	occupationLabel
Konrad Adenauer	1949-09-20T00:00:00Z	judge
Konrad Adenauer	1949-09-20T00:00:00Z	lawyer
Konrad Adenauer	1949-09-20T00:00:00Z	politician
Konrad Adenauer	1949-09-20T00:00:00Z	assessor
Konrad Adenauer	1949-09-20T00:00:00Z	resistance fighter
Konrad Adenauer	1949-09-20T00:00:00Z	autobiographer
Ludwig Erhard	1963-10-17T00:00:00Z	politician
Ludwig Erhard	1963-10-17T00:00:00Z	economist
Ludwig Erhard	1963-10-17T00:00:00Z	university teacher
Kurt Georg Kiesinger	1966-12-01T00:00:00Z	judge
Kurt Georg Kiesinger	1966-12-01T00:00:00Z	lawyer
Kurt Georg Kiesinger	1966-12-01T00:00:00Z	politician
Willy Brandt	1969-10-22T00:00:00Z	politician
Willy Brandt	1969-10-22T00:00:00Z	journalist
Willy Brandt	1969-10-22T00:00:00Z	non-fiction writer
Willy Brandt	1969-10-22T00:00:00Z	autobiographer
Walter Scheel	1974-05-07T00:00:00Z	military personnel
Walter Scheel	1974-05-07T00:00:00Z	politician
Helmut Schmidt	1974-05-16T00:00:00Z	writer
Helmut Schmidt	1974-05-16T00:00:00Z	politician
Helmut Schmidt	1974-05-16T00:00:00Z	economist
Helmut Schmidt	1974-05-16T00:00:00Z	civil servant
Helmut Schmidt	1974-05-16T00:00:00Z	non-fiction writer
Helmut Kohl	1982-10-04T00:00:00Z	politician
Helmut Kohl	1982-10-04T00:00:00Z	historian
Helmut Kohl	1982-10-04T00:00:00Z	political scientist
Gerhard Schröder	1998-10-27T00:00:00Z	lawyer
Gerhard Schröder	1998-10-27T00:00:00Z	politician
Gerhard Schröder	1998-10-27T00:00:00Z	lobbyist
Gerhard Schröder	1998-10-27T00:00:00Z	consultant
Gerhard Schröder	1998-10-27T00:00:00Z	non-fiction writer
Angela Merkel	2005-11-22T00:00:00Z	politician
Angela Merkel	2005-11-22T00:00:00Z	physicist
Olaf Scholz	2021-12-08T00:00:00Z	lawyer
Olaf Scholz	2021-12-08T00:00:00Z	politician
